trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,14,-33.14153346696624,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,0,24.797689109708944,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.32627979462303947}",30,19,20.372616964514656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,0,-40.18849745828682,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,0,15.046441629949584,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,13,-10.705540861234846,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,13,16.628483102805546,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.2952301669240142}",25,0,23.614307746714196,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,9,12.358939405707499,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,10,-25.338813322537103,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,0,-93.12267328549027,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,20,9.253944157548736,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,12,14.449198973661593,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.261845668580326}",20,15,7.807042260432766,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,6,18.314596651800795,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
